,Var1,Var2,Var3
"63-1",-0.45231891459068185,-1.9263296977101199,-3.7480574244992608
"64-1",-0.49998832473970761,-1.513911566909792,-3.9782908825024004
"65-1",-1.9683744149088782,-3.3575432544316195,-5.5369391014461966
"66-1",-1.5881703862508449,-1.5524024958207403,-4.4133631835245906
"67-1",0.22064278897616996,-3.9074096835902909,-5.5330448030670469
"68-1",-1.6015712917562115,-2.506169926926697,-4.9217948103881488
"69-1",-1.6845430800006596,-2.6204099481593,-6.2032757645930614
"70-1",-0.45971735035892403,-2.23706791343557,-5.9913857024716819
"71-1",0.40743500264476273,-3.8911623236420896,-3.4057226517578929
"72-1",-0.28696893260983503,-2.5760057400042267,-4.0992905304863214
"73-1",-0.9189261798816466,-4.4187433484038303,-4.2215241861766666
"74-1",-1.5405273328778515,-3.3222859176362052,-7.5503957775655497
"75-1",-0.64436753862711071,-0.85280196757198357,-4.1493139276920283
"76-1",-0.69393104146515427,-1.0891487807068967,-7.6202095674167616
"77-1",0.75977494573260485,0.53574982544209171,-8.6480412781482539
"78-1",0.6200794576386579,1.6300636174085299,-7.9902865302845143
"79-1",-0.96838459119220377,2.5597028678002549,-8.4514136073775319
"80-1",-1.5910309067090658,1.6653394614553156,-9.8645256914965476
"81-1",-0.68925196326961213,-0.1160187919985276,-7.7824940626628782
"82-1",-1.44493630472877,0.34148395404682186,-10.318929089743609
"83-1",-1.7166451239134519,0.40214517506985925,-9.4859337790499669
"84-1",-1.6773594775861307,0.8393099059914062,-10.67320583339087
"85-1",-1.3301674629536417,0.58266420291880405,-9.0989193338983139
"86-1",-1.4988821552067964,0.1110226088884303,-10.221768428899514
"87-1",0.63834864822927129,1.3342989715519149,-9.8614714353823274
"88-1",-0.55597796601581639,1.5610113332445006,-9.493357958672318
"89-1",-0.2003889305398453,1.3695609407125617,-9.7074731522837379
"90-1",-1.67009034569559,-0.10721764290801894,-9.5954353988868313
"91-1",0.23514466315857163,-4.0623647874496047,-6.3045922222755353
"92-1",0.089420991850547693,-4.0071030157038798,-7.3773092146923327
"93-1",0.09392202501357258,-1.4126369302729196,-6.3902670335737151
"94-1",1.5473447702012377,-3.6318838861586724,-6.9508127682922867
"95-1",0.27236867012352661,-3.0644405054364965,-6.8424713541148305
"96-1",-2.0976478408742918,-3.9311222337879088,-8.01559120264527
"97-1",-0.58282872313422951,-2.7778747962808952,-7.2119193820752479
"98-1",-0.55852665980085192,-1.9256224633988797,-7.8482700198815998
"99-1",0.87338321715230849,-3.3121120511034645,-7.6236297976512581
"100-1",-0.17667652964369654,-4.1016426792080605,-8.0203095652222558
"101-1",2.4126309156043537,-4.0699373469908897,-6.7095353295710662
"102-1",-0.87438378428846808,-3.9034644722508731,-7.4488049251660193
"103-1",1.2644248764432069,-3.2670629143290446,-7.9634161088756752
"104-1",2.5729249472595592,-2.7053042218068439,-11.053346426813039
"105-1",-1.6089484968972765,-1.2422618846391118,-8.8964107455853974
"106-1",0.8674137762865568,-3.5693955923634104,-11.475054297434493
"107-1",0.8796107018582161,-0.64054969858726252,-8.3219612199128719
"108-1",0.14062109243973131,-0.65482156872189257,-8.382375109751699
"109-1",1.8274019488542763,-0.020784758690982952,-9.9941583086450088
"110-1",1.2348265067857809,-0.063941400771047929,-8.8258998690698025
"111-1",1.7071868056475179,-0.99112690383001145,-10.084100083231267
"112-1",0.094615499253466018,-2.0412207945519709,-10.634365692634436
"113-1",-0.25993581128351084,-2.1977063001904416,-10.224587451991745
"114-1",2.094212161003592,0.21140370698772837,-9.4091771732679845
"115-1",1.8542432296531546,-2.7685322100767848,-12.010744991679285
"116-1",1.0687038477592365,-0.87963304920813234,-11.386767694244774
"117-1",-0.55028710813485437,-0.15833314851379965,-9.2466136467230609
"118-1",-0.032988486691031715,-0.033116487429091124,-8.7579476852672435
"119-1",1.1974073465413706,-0.098029033761301898,-10.047771232156947
"120-1",1.5667482667175272,-1.5949148820171304,-10.37864747153986
"121-1",-2.717776848908767,-1.8326382942751569,-7.0910154477046525
"122-1",-3.4362425042162092,-3.883854373597627,-7.6199555814920776
"123-1",-0.11552592837340392,-1.6144508770079828,-6.438597588355691
"124-1",0.72766989905988422,-3.3906702542418907,-5.2074071163037505
"125-1",-0.95123366493545025,-0.47184324331514982,-7.0315755677925695
"126-1",-2.0507593738681602,-0.90888291472540395,-6.8623924684921329
"127-1",1.1845204101433129,-1.4097817642660033,-6.2821911561236634
"128-1",-0.7573540083934589,-2.1582333584550937,-5.7443042483300069
"129-1",-1.0761287547763563,-1.2879937076165655,-7.5548156249779765
"130-1",-0.68027987158761949,-0.60561196488924707,-6.3393620600197265
"131-1",-1.0964106932582323,-0.9341440487005287,-7.732741634168109
"132-1",-0.57320140966565047,-1.2231281467785351,-7.7971126500653156
"133-1",-0.98841670876602006,-1.3347350214225566,-6.5924159394013051
"134-1",-0.53864027044430396,-2.1946389559627226,-8.2030743544775344
"135-1",-0.53824362508186219,-1.7655642538710674,-5.9347115156577575
"136-1",-1.9343248193565994,-1.8744781290019066,-3.8515606927772534
"137-1",-1.5100836432471203,-2.1098005954809826,-2.781713249524902
"138-1",0.38863039650561826,0.29895116795675847,-4.9882286645403529
"139-1",-0.60976825014047886,-2.2500232690896782,-4.6130256332726631
"140-1",-1.1441208030797063,0.22337009354139337,-3.8246294565949097
"141-1",-1.5720689004999593,-0.55613228306206597,-2.972250440431039
"142-1",-0.48279018886520375,0.67117788885051133,-2.1325969733532117
"143-1",-1.0745255784087573,0.070736079051303191,-3.3416978008186802
"144-1",-0.57892230571563164,0.68591040597054076,-4.0684931336181567
"145-1",-1.4351278951466615,-0.20903578548831875,-4.6597529378544298
"146-1",-2.5402053567318807,-0.51910088228857076,-4.2381768335174215
"147-1",-0.58744611567591676,-0.61772819798632594,-3.5076545048825705
"148-1",-1.4452747081163522,-0.58332017572750683,-2.0726047723080376
"149-1",-0.29292337920209677,-0.78602480174165112,-5.1325592689621846
"150-1",0.39194415929899906,1.7660789618618689,-2.54416633636606
